DT 1,DT 2,DT 3,DT 4
577.8951612903226,192.64285714285714,773.3206106870228,561.2794117647059
568.1693548387096,210.76190476190476,767.6870229007634,560.8823529411765
558.491935483871,210.64285714285714,764.6870229007634,561.9264705882352
549.7822580645161,217.21428571428572,756.6030534351145,561.8382352941177
548.4758064516129,206.02380952380952,751.2977099236641,562.6617647058823
534.3951612903226,188.61904761904762,756.1297709923664,550.25
526.9596774193549,173.97619047619048,761.8473282442748,553.8235294117648
512.0483870967741,176.4047619047619,754.5190839694657,554.6029411764706
500.39516129032256,188.4047619047619,754.4656488549618,545.9705882352941
494.28225806451616,194.66666666666666,757.0,540.7794117647059
489.8467741935484,199.6904761904762,756.9770992366413,539.4705882352941
487.51612903225805,198.5,755.1297709923664,529.0735294117648
500.86290322580646,188.66666666666666,760.4198473282443,530.8823529411765
493.78225806451616,185.85714285714286,739.4503816793894,513.8235294117648
489.6532258064516,192.78571428571428,735.1450381679389,504.2647058823529
465.4032258064516,194.28571428571428,734.7251908396946,513.1617647058823
433.0483870967742,183.28571428571428,731.4198473282443,518.1617647058823
418.61290322580646,168.3095238095238,721.5572519083969,514.6617647058823
399.2258064516129,171.3095238095238,713.2671755725191,507.45588235294116
398.30645161290323,169.02380952380952,709.824427480916,491.4852941176471
396.26612903225805,166.42857142857142,703.6717557251908,490.9264705882353
393.30645161290323,153.0,689.9465648854962,480.1029411764706
367.56451612903226,139.21428571428572,678.0076335877862,466.04411764705884
340.23387096774195,139.38095238095238,664.2671755725191,447.3970588235294
336.94354838709677,140.85714285714286,672.4427480916031,464.9117647058824
320.241935483871,153.83333333333334,651.9618320610687,465.9264705882353
295.3467741935484,153.47619047619048,637.4274809160305,463.0147058823529
279.64516129032256,136.5952380952381,625.0687022900763,446.4852941176471
266.7983870967742,122.54761904761905,605.2900763358779,425.63235294117646
259.508064516129,127.78571428571429,583.5572519083969,408.63235294117646
249.08064516129033,113.14285714285714,566.3129770992366,389.1029411764706
224.2983870967742,109.07142857142857,549.0381679389313,372.38235294117646
210.6451612903226,92.97619047619048,530.0229007633587,345.6617647058824
199.26612903225808,84.11904761904762,507.12213740458014,326.3235294117647
188.82258064516128,79.92857142857143,488.90076335877865,298.04411764705884
166.0241935483871,67.76190476190476,474.9541984732824,271.3235294117647
136.76612903225808,59.61904761904762,465.3435114503817,247.48529411764707
101.25806451612904,61.785714285714285,431.36641221374043,202.94117647058823
82.25,55.92857142857143,401.1526717557252,167.9558823529412
68.00806451612904,47.214285714285715,378.1679389312977,145.77941176470588
58.145161290322584,38.04761904761905,349.68702290076334,133.44117647058823
47.17741935483871,32.166666666666664,324.618320610687,114.42647058823529
37.0,26.857142857142858,295.63358778625957,98.66176470588235
31.379032258064516,23.428571428571427,270.17557251908397,86.08823529411765
30.161290322580644,16.5,244.77862595419847,78.1470588235294
